,WAF
1,6.1
2,7.0
3,6.7
4,13.6
5,8.2
6,8.8
7,5.9
8,8.4
9,5.0
10,10.3
11,5.4
12,8.0
13,5.7
14,4.7
15,6.2
16,6.7
17,5.6
18,5.1
19,7.7
20,5.4
21,5.9
22,8.7
23,4.9
24,5.9
25,8.0
26,5.7
27,6.2
28,5.0
29,6.0
30,5.6
31,6.0
32,4.9
33,12.2
34,5.7
35,6.1
36,4.9
37,13.3
38,7.6
39,6.3
40,6.0
41,8.4
42,6.1
43,8.8
44,8.9
45,7.8
46,6.4
47,6.5
48,9.3
49,8.5
50,5.7
51,5.3
52,6.4
53,6.4
54,5.9
55,6.0
56,5.7
57,5.6
58,7.3
59,5.4
60,8.6
61,8.3
62,6.1
63,6.1
64,6.9
65,4.7
66,7.2
67,9.5
68,8.0
69,9.5
70,7.3
71,8.8
72,7.6
73,8.4
74,12.6
75,8.3
76,5.5
77,8.1
78,4.9
79,6.0
80,5.0
81,4.7
82,6.2
83,6.9
84,6.2
85,9.5
86,6.6
87,8.0
88,5.4
89,5.6
90,5.2
91,4.8
92,6.2
93,6.0
94,7.0
95,5.5
96,5.4
97,4.7
98,7.6
99,4.9
100,5.7
101,6.2
102,7.0
103,5.6
104,6.0
105,5.3
106,5.4
107,6.7
108,6.4
109,6.3
110,5.9
111,9.2
112,5.2
113,8.4
114,5.9
115,9.6
116,11.6
117,6.2
118,8.7
119,6.3
120,6.0
121,4.9
122,4.9
123,7.2
124,7.1
125,4.9
126,4.5
127,10.2
128,5.5
129,5.5
130,8.5
131,9.0
132,4.8
133,7.1
134,5.9
135,5.9
136,5.3
137,5.2
138,12.5
139,5.7
140,5.9
141,4.8
142,6.3
143,7.6
144,5.6
145,9.1
146,8.5
147,6.7
148,5.9
149,5.3
150,5.6
151,5.6
152,5.1
153,5.1
154,13.2
155,5.7
156,6.2
157,18.3
158,6.3
159,4.7
160,8.3
161,5.9
162,12.5
163,6.1
164,5.4
165,6.2
166,6.4
167,5.1
168,5.9
169,7.8
170,5.5
171,6.8
172,8.9
173,7.0
174,4.8
175,5.6
176,5.4
177,5.3
178,4.7
179,9.7
180,4.5
181,8.2
182,6.2
183,6.2
184,9.1
185,4.1
186,5.5
187,5.0
188,14.0
189,9.0
190,6.3
191,6.0
192,6.3
193,5.7
194,5.5
195,6.1
196,5.9
197,8.7
198,13.2
199,6.3
200,9.9
201,5.0
202,6.0
203,6.4
204,5.4
205,6.0
206,5.6
207,9.5
208,5.6
209,8.3
210,6.2
211,9.0
212,5.5
213,6.2
214,6.3
215,12.7
216,6.4
217,5.7
218,13.4
219,8.3
220,5.3
221,5.9
222,9.3
223,6.5
224,5.5
225,4.8
226,8.5
227,6.0
228,6.0
229,5.8
230,5.7
231,6.1
232,5.8
233,5.9
234,6.1
235,6.0
236,14.0
237,5.2
238,5.4
239,7.2
240,12.4
241,9.6
242,7.7
243,8.2
244,5.6
245,6.5
246,4.9
247,4.7
248,13.6
249,6.1
250,8.0
251,5.5
252,6.3
253,4.8
254,6.4
255,7.1
256,8.2
257,8.9
258,9.1
259,5.2
260,9.3
261,5.4
262,6.0
263,5.3
264,5.5
265,5.6
266,7.2
267,7.8
268,7.6
269,5.3
270,6.0
271,8.0
272,6.8
273,9.0
274,7.8
275,7.6
276,8.2
277,4.7
278,8.8
279,9.2
280,9.0
281,5.7
282,7.8
283,9.1
284,4.7
285,6.3
286,6.1
287,6.0
288,6.0
289,5.4
290,6.1
291,6.1
292,6.0
293,6.0
294,11.3
295,6.4
296,4.6
297,6.3
298,7.9
299,6.4
300,7.0
301,6.4
302,4.5
303,5.7
304,7.7
305,5.1
306,7.7
307,9.1
308,8.0
309,5.5
310,5.0
311,8.4
312,5.4
313,6.7
314,14.2
315,5.4
316,7.0
317,7.7
318,8.0
319,6.7
320,5.6
321,8.3
322,6.7
323,5.4
324,6.8
325,5.8
326,11.5
327,8.4
328,4.8
329,7.0
330,6.7
331,7.0
332,5.0
333,12.4
334,13.3
335,5.2
336,5.4
337,8.4
338,5.5
339,5.7
340,6.2
341,8.1
342,6.1
343,6.0
344,7.3
345,5.2
346,6.4
347,7.5
348,5.6
349,13.4
350,8.1
351,9.2
352,6.2
353,7.0
354,6.1
355,5.0
356,5.6
357,9.8
358,6.1
359,5.8
360,8.3
361,4.8
362,5.9
363,6.0
364,5.5
365,5.1
366,5.2
367,8.1
368,7.9
369,12.7
370,6.2
371,4.5
372,8.5
373,6.0
374,7.0
375,6.9
376,5.7
377,6.2
378,5.1
379,5.6
380,6.2
381,5.7
382,4.9
383,5.0
384,9.4
385,7.3
386,6.0
387,6.2
388,5.5
389,5.9
390,4.5
391,8.9
392,4.8
393,6.4
394,6.4
395,7.5
396,5.2
397,7.6
398,4.9
399,4.8
400,9.4
401,13.1
402,6.3
403,9.1
404,6.3
405,10.2
406,4.9
407,8.3
408,8.3
409,7.3
410,6.8
411,4.8
412,5.1
413,10.8
414,6.0
415,6.4
416,9.4
417,4.6
418,5.4
419,5.7
420,6.0
421,5.1
422,12.4
423,4.7
424,5.0
425,12.0
426,7.6
427,4.9
428,9.5
429,4.5
430,9.2
431,5.1
432,6.9
433,6.1
434,5.5
435,6.0
436,5.3
437,7.6
438,6.0
439,5.4
440,4.8
441,8.3
442,6.1
443,5.8
444,8.1
445,9.5
446,8.4
447,9.0
448,8.3
449,4.8
450,6.1
451,6.1
452,4.3
453,6.1
454,4.9
455,9.3
456,11.0
457,5.2
458,7.1
459,9.4
460,9.1
461,5.5
462,6.3
463,7.9
464,6.0
465,5.6
466,6.9
467,6.3
468,4.9
469,5.8
470,4.9
471,6.3
472,6.3
473,6.0
474,4.6
475,6.2
476,6.4
477,7.8
478,5.7
479,7.0
480,5.9
481,7.6
482,4.5
483,5.5
484,12.7
485,8.4
486,12.9
487,6.1
488,7.6
489,5.8
490,8.0
491,5.9
492,6.1
493,7.0
494,6.7
495,6.3
496,13.6
497,5.9
498,12.2
499,6.5
500,6.2
501,6.1
502,6.9
503,5.9
504,6.0
505,4.7
506,5.2
507,6.0
508,6.6
509,6.0
510,6.0
511,6.0
512,5.6
513,5.7
514,5.9
515,6.1
516,5.3
517,6.0
518,6.7
519,6.0
520,6.9
521,9.3
522,10.8
523,6.0
524,5.0
525,8.2
526,8.4
527,5.8
528,6.1
529,5.1
530,7.5
531,7.1
532,6.8
533,5.5
534,4.5
535,13.5
536,12.8
537,7.9
538,6.2
539,8.1
540,6.2
541,5.5
542,11.4
543,6.3
544,7.1
545,8.5
546,6.1
547,8.0
548,6.1
549,12.1
550,5.9
551,6.0
552,12.9
553,9.1
554,5.6
555,8.3
556,9.5
557,8.2
558,8.6
559,5.1
560,6.3
561,6.5
562,5.4
563,13.4
564,5.6
565,7.5
566,8.1
567,5.7
568,5.8
569,6.2
570,7.3
571,6.1
572,5.8
573,6.0
574,5.3
575,6.4
576,6.3
577,5.5
578,4.7
579,5.4
580,6.4
581,5.9
582,5.9
583,6.2
584,7.1
585,6.3
586,7.2
587,13.6
588,4.4
589,6.1
590,6.1
591,6.1
592,7.9
593,8.3
594,5.5
595,6.3
596,8.9
597,5.3
598,6.0
599,6.2
600,9.0
601,4.7
602,9.2
603,7.7
604,6.3
605,6.4
606,5.3
607,5.4
608,5.8
609,8.6
610,8.6
611,12.1
612,4.7
613,5.5
614,6.9
615,5.9
616,9.5
617,4.7
618,8.0
619,9.2
620,6.2
621,5.8
622,6.3
623,14.0
624,8.4
625,5.0
626,7.2
627,5.0
628,8.3
629,7.6
630,13.3
631,6.1
632,8.8
633,6.3
634,5.8
635,7.9
636,6.0
637,8.7
638,8.8
639,4.8
640,5.4
641,6.0
642,6.2
643,5.0
644,7.0
645,9.4
646,6.1
647,6.2
648,5.1
649,7.6
650,9.4
651,5.7
652,8.4
653,6.4
654,6.4
655,6.9
656,5.0
657,7.1
658,5.5
659,8.2
660,5.6
661,6.7
662,6.1
663,7.3
664,6.2
665,7.7
666,8.1
667,8.3
668,5.6
669,7.3
670,11.4
671,12.4
672,5.5
673,6.6
674,6.3
675,7.0
676,8.6
677,5.0
678,9.1
679,7.1
680,6.0
681,7.0
682,6.3
683,5.8
684,4.7
685,5.9
686,6.5
687,7.3
688,4.2
689,8.0
690,5.8
691,6.1
692,9.2
693,8.1
694,13.2
695,5.0
696,4.8
697,8.1
698,6.1
699,4.5
700,5.0
701,7.5
702,5.7
703,4.7
704,7.0
705,4.9
706,8.6
707,6.4
708,7.3
709,8.4
710,4.9
711,6.2
712,13.4
713,8.8
714,5.0
715,5.4
716,8.4
717,5.2
718,6.9
719,8.4
720,9.6
721,6.7
722,5.5
723,5.3
724,5.8
725,9.4
726,8.3
727,8.7
728,8.2
729,5.7
730,6.2
731,7.3
732,5.3
733,7.6
734,6.8
735,5.2
736,5.3
737,8.5
738,9.5
739,4.9
740,5.6
741,8.4
742,5.5
743,5.9
744,5.8
745,6.9
746,5.8
747,6.5
748,5.6
749,6.0
750,5.3
751,5.6
752,6.2
753,7.3
754,5.9
755,6.2
756,13.2
757,7.2
758,6.8
759,6.1
760,5.9
761,5.1
762,6.0
763,5.3
764,4.7
765,9.2
766,8.1
767,7.0
768,6.0
769,9.1
770,8.2
771,8.2
772,5.7
773,6.8
774,6.1
775,7.0
776,5.2
777,6.8
778,6.1
779,8.9
780,6.0
781,6.1
782,4.9
783,5.7
784,12.2
785,4.2
786,4.8
787,5.5
788,6.9
789,5.7
790,4.8
791,5.7
792,13.6
793,4.9
794,6.0
795,4.9
796,7.7
797,6.2
798,7.2
799,7.1
800,6.2
801,8.9
802,12.3
803,6.0
804,5.2
805,5.1
806,6.3
807,8.4
808,6.4
809,6.0
810,8.9
811,6.3
812,6.7
813,7.7
814,5.1
815,6.5
816,5.5
817,8.8
818,5.3
819,4.9
820,13.3
821,6.3
822,6.9
823,6.9
824,6.1
825,7.1
826,7.9
827,6.5
828,14.0
829,7.3
830,13.8
831,6.3
832,5.2
833,7.0
834,5.0
835,4.5
836,5.5
837,5.4
838,5.8
839,6.1
840,6.8
841,6.2
842,5.8
843,8.3
844,5.3
845,13.0
846,8.9
847,9.4
848,8.2
849,6.2
850,6.7
851,6.1
852,6.6
853,9.5
854,9.1
855,14.1
856,5.5
857,8.9
858,7.1
859,5.9
860,8.0
861,8.7
862,5.6
863,5.0
864,7.2
865,7.7
866,6.0
867,9.1
868,8.2
869,6.0
870,6.3
871,7.3
872,6.0
873,6.1
874,6.1
875,6.4
876,7.2
877,5.3
878,5.6
879,6.7
880,6.2
881,7.3
882,6.2
883,8.5
884,5.7
885,6.2
886,4.8
887,7.8
888,5.6
889,5.5
890,6.0
891,5.9
892,7.0
893,11.9
894,7.1
895,6.1
896,6.1
897,5.0
898,5.7
899,5.0
900,7.8
