,WAF
1,8.2
2,7.2
3,7.2
4,8.5
5,7.5
6,8.6
7,5.9
8,6.1
9,8.1
10,8.2
11,8.2
12,7.1
13,7.4
14,6.5
15,6.5
16,8.0
17,7.3
18,6.7
19,7.2
20,5.4
21,8.1
22,7.2
23,7.3
24,6.9
25,7.6
26,7.0
27,6.4
28,5.0
29,6.8
30,5.6
31,8.2
32,7.6
33,8.8
34,6.6
35,6.8
36,6.5
37,9.2
38,7.0
39,6.2
40,6.1
41,5.3
42,7.1
43,6.9
44,7.6
45,6.6
46,6.6
47,7.3
48,5.7
49,7.6
50,7.5
51,6.1
52,6.4
53,6.6
54,6.7
55,5.6
56,6.4
57,7.1
58,8.7
59,6.9
60,7.8
61,6.5
62,7.0
63,8.8
64,7.3
65,5.5
66,7.6
67,7.4
68,6.9
69,10.3
70,6.9
71,9.2
72,8.3
73,6.1
74,7.4
75,6.6
76,5.5
77,7.2
78,7.0
79,6.6
80,5.0
81,6.1
82,6.2
83,7.2
84,6.7
85,6.6
86,9.0
87,6.3
88,7.5
89,7.6
90,5.2
91,6.5
92,6.2
93,7.1
94,6.6
95,6.8
96,7.6
97,5.8
98,6.6
99,4.9
100,8.1
101,7.6
102,6.9
103,7.5
104,8.7
105,7.1
106,6.6
107,7.6
108,6.4
109,7.0
110,8.9
111,8.8
112,7.3
113,5.2
114,6.3
115,9.2
116,7.2
117,6.2
118,8.6
119,6.3
120,6.0
121,6.5
122,5.7
123,7.4
124,7.4
125,6.1
126,5.9
127,11.2
128,6.8
129,6.5
130,7.4
131,6.8
132,6.3
133,9.3
134,7.6
135,8.0
136,5.9
137,6.9
138,9.0
139,7.1
140,6.4
141,4.8
142,7.0
143,6.5
144,6.8
145,6.9
146,9.6
147,7.2
148,6.6
149,10.7
150,7.3
151,7.0
152,5.1
153,5.1
154,8.9
155,7.1
156,7.3
157,11.5
158,6.3
159,6.1
160,6.7
161,6.6
162,7.1
163,6.0
164,7.0
165,8.1
166,6.9
167,7.4
168,6.6
169,6.2
170,5.5
171,8.0
172,7.8
173,6.7
174,5.9
175,7.3
176,5.4
177,5.3
178,6.3
179,12.7
180,4.5
181,5.3
182,6.9
183,8.3
184,7.8
185,4.1
186,7.2
187,7.2
188,9.2
189,7.1
190,7.9
191,7.4
192,7.4
193,6.1
194,5.5
195,6.4
196,7.9
197,6.6
198,8.7
199,6.2
200,8.6
201,6.7
202,7.6
203,7.4
204,5.4
205,8.2
206,6.5
207,7.9
208,8.1
209,7.5
210,7.0
211,6.8
212,5.5
213,8.5
214,7.4
215,7.3
216,6.2
217,7.3
218,9.3
219,7.0
220,5.3
221,7.5
222,9.5
223,6.7
224,7.6
225,7.3
226,8.3
227,7.6
228,7.2
229,7.3
230,5.8
231,7.3
232,5.8
233,8.5
234,6.1
235,8.9
236,7.4
237,7.5
238,7.0
239,10.5
240,7.2
241,8.8
242,6.2
243,8.1
244,7.3
245,8.4
246,6.2
247,5.6
248,9.2
249,6.1
250,6.7
251,5.5
252,6.1
253,6.0
254,6.4
255,7.5
256,10.8
257,7.9
258,8.7
259,5.2
260,7.2
261,6.7
262,6.1
263,6.8
264,8.4
265,9.3
266,7.0
267,5.9
268,6.9
269,5.7
270,6.4
271,6.3
272,9.0
273,6.6
274,9.2
275,5.7
276,6.1
277,4.7
278,7.4
279,7.5
280,9.0
281,5.7
282,6.4
283,8.1
284,6.7
285,6.6
286,6.2
287,6.3
288,6.8
289,5.4
290,5.8
291,8.7
292,7.1
293,8.4
294,8.0
295,6.1
296,4.6
297,6.3
298,6.4
299,6.2
300,6.9
301,4.9
302,4.5
303,7.5
304,6.1
305,8.5
306,10.5
307,9.1
308,6.7
309,6.9
310,5.0
311,7.2
312,5.4
313,9.0
314,8.8
315,5.4
316,8.6
317,6.8
318,5.6
319,7.1
320,7.5
321,7.3
322,6.5
323,8.0
324,6.7
325,5.8
326,9.1
327,7.0
328,7.0
329,11.7
330,6.9
331,7.7
332,5.9
333,9.5
334,13.6
335,7.2
336,5.4
337,9.2
338,7.2
339,8.3
340,6.2
341,6.8
342,8.1
343,6.0
