,WAF
1,6.4
2,6.2
3,6.7
4,12.0
5,6.1
6,6.7
7,5.9
8,8.4
9,6.2
10,14.7
11,6.3
12,5.6
13,9.3
14,4.7
15,6.0
16,5.7
17,6.3
18,5.1
19,9.4
20,5.4
21,8.3
22,8.7
23,5.6
24,16.4
25,5.1
26,5.7
27,5.5
28,5.0
29,6.0
30,5.6
31,6.1
32,4.8
33,10.9
34,5.6
35,5.5
36,6.5
37,6.4
38,4.7
39,6.1
40,5.6
41,4.6
42,6.4
43,6.3
44,8.4
45,7.8
46,6.4
47,6.4
48,6.2
49,7.6
50,5.7
51,4.7
52,4.3
53,6.4
54,4.5
55,5.6
56,5.2
57,5.4
58,6.1
59,8.7
60,8.6
61,9.1
62,6.1
63,5.0
64,6.0
65,5.5
66,6.4
67,8.9
68,8.0
69,14.5
70,4.1
71,12.7
72,9.8
73,8.4
74,7.0
75,8.3
76,5.5
77,5.5
78,4.9
79,6.0
80,5.0
81,4.4
82,6.2
83,6.0
84,4.2
85,6.0
86,6.2
87,5.5
88,6.1
89,5.6
90,5.2
91,4.7
92,6.2
93,6.0
94,7.4
95,5.5
96,6.2
97,4.6
98,6.1
99,4.9
100,5.5
101,6.2
102,6.0
103,5.3
104,7.7
105,8.2
106,4.6
107,7.2
108,5.5
109,4.5
110,9.5
111,8.3
112,8.8
113,5.2
114,5.6
115,7.0
116,6.3
117,4.7
118,10.2
119,6.3
120,5.2
121,4.9
122,3.7
123,5.9
124,6.3
125,4.4
126,4.1
127,13.8
128,6.3
129,9.3
130,6.1
131,5.4
132,4.3
133,9.2
134,8.5
135,6.1
136,9.3
137,8.6
138,8.0
139,5.7
140,5.9
141,4.8
142,5.2
143,4.3
144,5.3
145,6.9
146,13.0
147,7.0
148,4.5
149,5.7
150,6.3
151,5.9
152,5.1
153,5.1
154,12.2
155,5.5
156,6.3
157,21.0
158,6.3
159,4.7
160,6.3
161,5.9
162,9.3
163,5.4
164,6.1
165,6.1
166,5.2
167,6.3
168,5.7
169,6.5
170,4.6
171,6.4
172,6.3
173,9.3
174,4.5
175,6.2
176,5.4
177,5.3
178,4.7
179,15.4
180,4.5
181,4.6
182,5.8
183,8.9
184,9.8
185,4.1
186,4.5
187,8.5
188,8.1
189,6.4
190,8.7
191,8.5
192,8.4
193,5.7
194,5.5
195,6.4
196,8.2
197,6.4
198,12.0
199,6.3
200,15.3
201,5.0
202,6.1
203,6.3
204,5.4
205,6.0
206,6.2
207,6.2
208,6.2
209,6.4
210,6.2
211,5.7
212,5.5
213,8.1
214,6.3
215,6.2
216,5.5
217,5.7
218,6.7
219,5.9
220,5.3
221,6.1
222,8.6
223,9.0
224,6.4
225,5.7
226,8.5
227,5.5
228,4.4
229,5.3
230,6.1
231,6.1
232,5.7
233,9.1
234,6.1
235,6.3
236,9.3
237,4.9
238,4.4
239,14.1
240,8.5
241,6.5
242,4.3
243,6.1
244,5.0
245,7.8
246,4.5
247,5.6
248,10.0
249,6.1
250,5.4
251,5.5
252,6.3
253,4.5
254,6.4
255,6.8
256,12.9
257,6.4
258,14.2
259,5.2
260,8.6
261,8.6
262,5.9
263,5.5
264,6.3
265,6.2
266,6.2
267,5.9
268,5.6
269,5.7
270,6.4
271,5.5
272,5.2
273,6.2
274,14.6
275,5.1
276,5.8
277,4.7
278,6.3
279,6.3
280,8.8
281,5.5
282,6.4
283,9.0
284,5.2
285,4.7
286,4.4
287,9.3
288,5.1
289,5.4
290,8.3
291,6.1
292,12.0
293,6.0
294,9.5
295,6.8
296,4.6
297,6.1
298,4.6
299,8.6
300,6.4
301,4.9
302,4.5
303,6.6
304,6.1
305,5.5
306,9.9
307,9.1
308,6.4
309,6.5
310,5.0
311,4.7
312,5.4
313,6.4
314,11.6
315,5.4
316,12.9
317,5.2
318,5.6
319,6.3
320,5.0
321,9.4
322,6.5
323,6.1
324,5.9
325,5.3
326,11.0
327,7.8
328,5.4
329,14.3
330,6.2
331,9.6
332,5.0
333,11.0
334,8.9
335,5.2
336,5.4
337,14.0
338,5.2
339,5.6
340,6.2
341,5.4
342,8.1
343,6.2
344,4.7
345,5.2
346,5.5
347,7.5
348,5.4
349,10.1
350,5.3
351,7.8
352,6.0
353,8.3
354,5.7
355,5.0
356,5.1
357,15.6
358,6.1
359,5.8
360,6.2
361,4.8
362,10.1
363,3.9
364,5.9
365,6.4
366,9.2
367,6.3
368,6.3
369,15.1
370,8.9
371,5.6
372,6.2
373,8.2
374,5.5
375,5.1
376,4.6
377,6.4
378,5.1
379,5.6
380,9.4
381,8.8
382,4.5
383,4.6
384,9.1
385,5.9
386,6.6
387,10.1
388,5.5
389,8.4
390,4.5
391,7.7
392,4.6
393,5.1
394,9.3
395,5.6
396,4.7
397,9.8
398,4.9
399,4.7
400,9.1
401,6.6
402,6.9
403,8.2
404,6.3
405,12.9
406,4.1
407,8.3
408,6.1
409,6.6
410,8.6
411,4.8
412,5.1
413,12.7
414,5.3
415,6.4
416,6.3
417,5.7
418,5.5
419,5.7
420,6.0
421,4.4
422,7.9
423,4.7
424,5.0
425,9.2
426,5.5
427,4.7
428,14.8
429,6.6
430,8.5
431,5.1
432,5.4
433,9.3
434,5.2
435,5.3
436,5.3
437,6.1
438,5.7
439,5.4
440,5.4
