,max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,compaction_pri,compaction_style,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,compression_type,bloom_locality,open_files,block_size,cache_index_and_filter_blocks,max_bytes_for_level_base,max_bytes_for_level_multiplier,target_file_size_base,target_file_size_multiplier,num_levels,memtable_bloom_size_ratio,compression_ratio
0,16,11,2071552,7,2,3,0,8,32,47,3,1,100000,16384,0,8388608,12,812032,2,8,0.05,0.0
1,16,5,2029568,7,2,3,0,8,32,32,3,1,-1,16384,0,8388608,12,679936,2,8,0.2,0.0
2,16,4,2029568,7,2,2,0,8,32,32,3,1,10000,16384,0,8388608,12,904192,2,8,0.15,0.0
3,16,6,2071552,7,2,2,0,8,32,40,3,1,100000,16384,0,8388608,12,812032,2,8,0.1,0.0
4,16,4,1975296,7,2,3,0,8,32,41,3,1,-1,16384,0,8388608,12,564224,2,8,0.1,0.0
5,16,3,2071552,6,2,3,0,8,32,49,3,1,10000,16384,0,8388608,12,989184,2,7,0,0.0
6,16,12,2025472,5,2,3,0,8,32,44,3,1,-1,16384,0,8388608,12,845824,1,7,0.15,0.0
7,15,9,2071552,6,2,3,0,8,30,46,3,1,10000,16384,0,8388608,12,928768,2,8,0,0.0
8,16,16,2081792,6,2,3,0,8,30,46,3,1,100000,16384,0,8388608,12,928768,2,8,0,0.0
9,16,8,2071552,7,2,3,0,8,32,37,3,1,10000,16384,0,8388608,12,1741824,2,8,0.15,0.0
10,16,3,2071552,7,2,1,0,8,32,33,3,1,10000,16384,0,8388608,12,988160,2,8,0.2,0.0
11,15,11,2071552,6,2,3,0,8,30,42,3,1,-1,16384,0,8388608,12,1165312,2,7,0.05,0.0
12,16,8,2071552,7,2,3,0,8,32,47,3,1,100000,16384,0,8388608,11,594944,2,7,0.05,0.0
13,15,9,2071552,6,2,2,0,8,32,60,3,1,-1,16384,0,8388608,12,594944,2,7,0.05,0.0
14,15,9,2071552,6,2,3,0,8,32,44,3,1,100000,16384,0,8388608,12,1595392,1,7,0.05,0.0
15,16,6,1975296,6,2,3,0,8,32,40,3,1,100000,16384,0,8388608,12,686080,2,7,0.2,0.0
